,show_id,country
0,s1,United States
1,s2,South Africa
2,s3,Unknown
3,s4,Unknown
4,s5,India
5,s6,Unknown
6,s7,Unknown
7,s8,United States
8,s8, Ghana
9,s8, Burkina Faso
10,s8, United Kingdom
11,s8, Germany
12,s8, Ethiopia
13,s9,United Kingdom
14,s10,United States
15,s11,Unknown
16,s12,Unknown
17,s13,Germany
18,s13, Czech Republic
19,s14,Unknown
20,s15,Unknown
21,s16,United States
22,s17,Unknown
23,s18,Mexico
24,s19,Unknown
25,s20,Unknown
26,s21,Unknown
27,s22,Turkey
28,s23,Unknown
29,s24,Unknown
30,s25,India
31,s26,Australia
32,s27,Unknown
33,s28,United States
34,s29,United States
35,s30,United States
36,s30, India
37,s30, France
38,s31,Unknown
39,s32,Unknown
40,s33,United Kingdom
41,s34,Unknown
42,s35,Unknown
43,s36,Unknown
44,s37,Unknown
45,s38,Finland
46,s39,China
47,s39, Canada
48,s39, United States
49,s40,India
50,s41,United States
51,s42,United States
52,s43,United States
53,s44,United States
54,s45,United States
55,s46,Unknown
56,s47,South Africa
57,s47, United States
58,s47, Japan
59,s48,Unknown
60,s49,United States
61,s50,Nigeria
62,s51,India
63,s52,Japan
64,s53,Japan
65,s54,Japan
66,s55,Japan
67,s56,United States
68,s57,Japan
69,s58,Japan
70,s59,Japan
71,s60,Japan
72,s61,Japan
73,s62,Japan
74,s63,Japan
75,s64,Japan
76,s65,Unknown
77,s66,United Kingdom
78,s67,India
79,s68,United States
80,s69,Unknown
81,s70,India
82,s71,Unknown
83,s72,Unknown
84,s73,United Kingdom
85,s74,Nigeria
86,s75,Unknown
87,s76,Unknown
88,s77,Japan
89,s78,Unknown
90,s79,Unknown
91,s80,Unknown
92,s81,Unknown
93,s82,United States
94,s83,United States
95,s84,Unknown
96,s85,Nigeria
97,s86,Unknown
98,s87,Unknown
99,s88,Unknown
100,s89,Unknown
101,s90,Unknown
102,s91,Spain
103,s91, United States
104,s92,France
105,s93,Belgium
106,s94,Unknown
107,s95,United Kingdom
108,s95, United States
109,s96,United States
110,s96, United Kingdom
111,s97,United States
112,s98,United States
113,s99,United Kingdom
114,s100,France
115,s100, United States
116,s101,Unknown
117,s102,United States
118,s103,Unknown
119,s104,Unknown
120,s105,South Korea
121,s106,India
122,s107,United States
123,s108,United States
124,s109,Australia
125,s110,Spain
126,s111,Unknown
127,s112,United States
128,s112, Singapore
129,s113,Unknown
130,s114,Unknown
131,s115,India
132,s116,United Kingdom
133,s116, Australia
134,s116, France
135,s117,India
136,s118,United Kingdom
137,s118, United States
138,s119,India
139,s120,Unknown
140,s121,Australia
141,s122,Unknown
142,s123,United Kingdom
143,s123, Australia
144,s123, France
145,s123, United States
146,s124,Unknown
147,s125,South Korea
148,s126,United States
149,s127,India
150,s128,United States
151,s128, Canada
152,s129,Unknown
153,s130,Germany
154,s130, United States
155,s131,Unknown
156,s132,United States
157,s133,Unknown
158,s134,South Africa
159,s134, United States
160,s135,United States
161,s135, Mexico
162,s136,United States
163,s136, Italy
164,s136, France
165,s136, Japan
166,s137,United States
167,s137, Italy
168,s137, Romania
169,s137, United Kingdom
170,s138,Australia
171,s138, United States
172,s139,United States
173,s140,United States
174,s141,Argentina
175,s141, Venezuela
176,s142,United States
177,s142, United Kingdom
178,s142, Canada
179,s143,Germany
180,s143, United States
181,s144,United States
182,s145,United States
183,s146,United States
184,s147,United States
185,s148,Unknown
186,s149,Unknown
187,s150,United States
188,s151,United States
189,s152,China
190,s152, Hong Kong
191,s153,United States
192,s154,Russia
193,s155,Japan
194,s156,United Kingdom
195,s156, United States
196,s157,United States
197,s158,Canada
198,s159,United States
199,s160,Hong Kong
200,s161,United States
201,s162,United States
202,s163,United States
203,s163, China
204,s163, Hong Kong
205,s164,United States
206,s165,United States
207,s166,Unknown
208,s167,Italy
209,s167, United States
210,s168,United States
211,s168, Canada
212,s169,United States
213,s170,United States
214,s171,United States
215,s172,United States
216,s173,United States
217,s173, Germany
218,s174,United States
219,s175,United States
220,s176,United States
221,s177,United States
222,s178,United Kingdom
223,s178, United States
224,s179,United States
225,s180,United States
226,s181,Unknown
227,s182,Unknown
228,s183,United States
229,s184,United States
230,s185,United States
231,s186,Unknown
232,s187,Unknown
233,s188,Unknown
234,s189,France
235,s190,Unknown
236,s191,India
237,s192,United Kingdom
238,s192, Canada
239,s192, United States
240,s193,India
241,s194,
242,s194, South Korea
243,s195,Unknown
244,s196,India
245,s197,Unknown
